No,lat,lon,first,last
N7323,11,234~236,dec.2,dec.2
N7324,9~12,163~168,dec.4,dec.13
N7325,22,162,dec.4,dec.7
N7326,6,242,dec.7,dec.7
N7327,19,149~153,dec.7,dec.15
N7328,11~16,85~95,dec.8,dec.16
N7329,13,125~126,dec.11,dec.11
N7330,5~8,79~88,dec.11,dec.20
N7331,18,61~64,dec.11,dec.16
N7332,21~23,126~134,dec.12,dec.16
N7333,11,40,dec.13,dec.19
N7334,27,128,dec.15,dec.15
N7335,17,100,dec.15,dec.16
N7336,20~21,84~88,dec.15,dec.16
N7337,18,80,dec.15,dec.15
N7338,13~16,58~64,dec.15,dec.21
N7339,13~17,31~36,dec.15,dec.24
N7340,20~21,356,dec.15,dec.21
N7341,7~11,338~346,dec.19,dec.24
N7342,5~13,295~307,dec.19,dec.30
N7343,4,299,dec.20,dec.22
N7344,6~9,322~332,dec.21,dec.23
N7345,20,279,dec.21,dec.30
N7346,6,293,dec.23,dec.23
N7347,30~31,355~358,dec.24,dec.24
N7348,5~8,249~254,dec.24,dec.30
N7349,28~31,233~239,dec.27,jan.1
S7064,16,152,dec.4,dec.6
S7065,4,215~220,dec.7,dec.8
S7066,9,198,dec.7,dec.7
S7067,19~22,63~69,dec.11,dec.21
S7068,23~26,60~63,dec.12,dec.22
S7069,18~21,106~112,dec.15,dec.16
S7070,16~19,16~19,dec.15,dec.24
S7071,9~12,321~331,dec.19,dec.29
S7072,10~11,313~316,dec.21,dec.28
S7073,10~13,256~261,dec.23,jan.3
S7074,7~8,261~264,dec.27,jan.1
S7075,19~20,255~259,dec.27,dec.27
S7076,15,242,dec.27,dec.27
S7077,3~9,197~208,dec.27,jan.6
S7078,10~12,207~214,dec.29,jan.6
