no,lat,lon,first,last
N2847,/,/,1,5
N2848,19,84,1,1
N2849,11~12,357~3,2,9
N2850,7,335,4,4
N2851,12,19~20,5,5
N2852,16,323~329,8,10
N2853,7,8~12,11,11
N2854,5~7,217~222,11,13
N2855,10,337,13,13
N2856,10,228,19,19
N2857,8,212,19,19
N2858,8,226,21,22
N2859,17,172,21,21
N2860,12~15,78~86,22,30
N2861,14,117~120,23,28
N2862,9,120,24,24
S2102,/,/,1,2
S2104,/,/,1,5
S2105,15,83,1,1
S2106,10,44,1,1
S2107,7~0,1~7,1,12
S2108,18~19,2~3,1,12
S2109,10,347,8,8
S2110,7,327,8,9
S2111,3,297,9,13
S2112,15~16,261~262,12,13
S2113,13,279,13,13
S2114,11~16,181~200,13,25
S2115,10,262~266,19,20
S2116,5~6,133~134,19,30
S2117,8~10,90~94,21,30
S2118,14~18,82~95,21,30
S2119,11,95,25,25
S2120,8~11,82~86,25,30
S2121,14~15,32~36,28,30
S2122,10,6,29,30
