no,lat,lon,first,last
N2028,15,149,4,4
N2029,18~21,91~103,4,12
N2030,9~10,77~81,5,9
N2031,7~15,59~76,8,17
N2032,17~23,29~35,8,19
N2033,24,39,9,9
N2034,14~16,36~40,10,12
N2035,8~9,29~38,16,18
N2036,1,354,17,17
N2037,20,277~280,18,24
N2038,17,238,20,20
N2039,9,228,21,21
N2040,18,33?,22,23
N2041,8,229,23,23
N2042,33?,194~199?,23,23
N2043,27~28,289~293,24,26
N2044,9~18,148~174,24,31
N2045,2~3,239~244,25,28
N2046,20~22,126~128,28,31
N2047,10~15,110~122,28,31
N2048,23?,114?,31,31
N2049,20,97,31,31
N2050,7~8,90~98,31,31
S1359,/,/,1,2
S1362,/,/,1,2
S1364,/,/,1,5
S1367,/,/,1,4
S1368,/,/,1,5
S1370,/,/,1,4
S1371,/,/,1,5
S1372,17~19,107~116,2,11
S1373,19~26,87~94,4,12
S1374,25~26,72~76,4,10
S1375,23,80~82,5,12
S1376,23~25,56~60,5,16
S1377,19,125,10,10
S1378,8~9,51~56,10,12
S1379,9~18,248~259,18,26
S1380,18,298,19,19
S1381,28,277~278,22,22
S1382,11,201,23,26
S1383,10~12,159~168,24,31
S1384,15,214~218,26,26
S1385,10~14,152~155,27,31
S1386,10~13,114~120,31,31
S1387,13~16,84~94,31,31
S1388,23~24,84~85,31,31
