No,lat,lon,first,last
N3431,14,354~356,jun.3,jun.3
N3432,17,284~286,jun.5,jun.9
N3433,11,308,jun.8,jun.8
N3434,15~16,212~216,jun.9,jun.12
N3435,14~15,327~329,jun.10,jun.10
N3436,17,263~267,jun.12,jun.12
N3437,20,254,jun.12,jun.12
N3438,15~18,238~247,jun.12,jun.18
N3439,15~18,157~165,jun.12,jun.21
N3440,17,205~210,jun.13,jun.14
N3441,23~25,184~191,jun.13,jun.20
N3442,17~19,153~155,jun.13,jun.20
N3443,18,224,jun.15,jun.15
N3444,18,214,jun.15,jun.15
N3445,12,198,jun.15,jun.15
N3446,14~17,202~210,jun.17,jun.20
N3447,17~18,187~189,jun.17,jun.18
N3448,10~12,133~139,jun.18,jun.21
N3449,17~18,79~86,jun.18,jun.21
N3450,31,88,jun.20,jun.21
N3451,14~19,56~71,jun.20,jun.30
N3452,25~26,53~58,jun.20,jun.30
N3453,17~20,36~40,jun.20,jun.30
N3454,17,95,jun.21,jun.21
N3455,22~26,27~37,jun.28,jul.3
N3456,13~16,337~345,jun.28,jun.30
N3457,18,332,jun.28,jun.30
N3458,22,317,jun.29,jun.30
N3459,26~28,322~329,jun.30,jul.8
N3460,21~27,276~285,jun.30,jul.11
S2742,23~27,2~10,jun.1,jun.9
S2743,21~22,339~342,jun.3,jun.5
S2744,20~21,31,jun.6,jun.6
S2745,25,252,jun.6,jun.6
S2746,20,337,jun.7,jun.7
S2747,22,262,jun.7,jun.7
S2748,15,338,jun.8,jun.8
S2749,13,239~243,jun.8,jun.13
S2750,32~33,195~201,jun.12,jun.14
S2751,22~26,115~119,jun.17,jun.21
S2752,26,119,jun.20,jun.20
S2753,13,95,jun.21,jun.21
S2754,16~18,82~84,jun.21,jun.21
S2755,18~23,39~53,jun.21,jul.2
S2756,14~17,51~59,jun.28,jun.30
S2757,15~16,315~320,jun.30,jul.10
