no,lat,lon,first,last
N2759,/,/,1,1
N2761,10~13,2~8,1,7
N2762,13,303,2,4
N2763,13~18,266~272,4,15
N2764,10~13,330~338,5,10
N2765,1~5,176~184,10,21
N2766,8~10,150~162,12,24
N2767,19~20,154~160,12,21
N2768,17~21,142~153,14,24
N2769,19~20,208~210,19,20
N2770,10~12,122~127,19,21
N2771,15~19,158~163,21,23
N2772,5,152~163,23,24
N2773,3,96,24,24
N2774,6~8,25~34,25,30
S2017,/,/,1,3
S2018,/,/,1,6
S2019,18~17,339~342,2,4
S2020,14~15,261~263,4,14
S2021,13,261,5,8
S2022,3,248,6,8
S2023,2,244,11,11
S2024,4~7,170~177,11,23
S2025,7~8,236~238,12,12
S2026,3~6,203~210,12,20
S2027,17~21,147~153,13,20
S2028,2~5,212~219,14,19
S2029,14~15,187~189,14,16
S2030,10~11,77~79,18,21
S2031,9,136~140,21,25
S2032,17,35,24,24
S2033,9~12,42~47,25,28
S2034,11~13,31~38,25,30
S2035,4~5,341~347,27,30
S2036,13~14,295~298,30,30
