no,ns,lat
668,N,18~20
669,N,9~13
644,S,20~22
670,N,23~28
671,N,10
672,N,39~44
645,S,19
673,N,20
674,N,15
646,S,18
675,N,13~14
647,S,23
648,S,23
676,N,4
677,N,15~17
678,N,16
649,S,24~26
650,S,22
679,N,21
680,N,6
681,N,17
682,N,18~20
651,S,16
683,N,9~16
652,S,11~12
684,N,7
653,S,15~18
685,N,28
654,S,14~15
686,N,17
655,S,14~21
656,S,5
687,N,8~10
657,S,14
658,S,24
688,N,19
659,S,11~13
89,N,24
690,N,19
691,N,16~18
692,N,20~25
