no,lat,lon,first,last
N2001,/,/,1,1
N2002,/,/,1,1
N2004,21~22,266~271,3,4
N2005,24~25,194~196,3,5
N2006,13~14,153~162,3,6
N2007,10~11,156~157,3,12
N2008,11~12,142~143,3,6
N2009,22~24,128~134,6,12
N2010,19~20,116~120,9,9
N2011,18?,108?,9,9
N2012,15~17?,93~99?,9,12
N2013,8~10,84~86,9,18
N2014,13~14,146~150,12,12
N2015,9~10,37~39,12,18
N2016,20~21,33~41,12,18
N2017,19~21,107~111,15,15
N2018,13,50,15,17
N2019,13~20,20~37,15,23
N2020,22?,348?,15,17
N2021,20~24,330~344,15,27
N2022,18,71,18,18
N2023,23~25,61~68,18,23
N2024,22~24,320~328,20,23
N2025,15,264,21,27
N2026,15?,344?,25,25
N2027,9,222,30,30
S1344,/,/,1,3
S1345,/,/,1,1
S1347,/,/,1,1
S1348,18~20,246~253,1,5
S1349,13~15,244~247,3,5
S1350,14~17,115~123,5,16
S1351,23~24,99~100,6,15
S1352,14~18,90~98,9,17
S1353,21~27,104~117,12,18
S1354,31~32,84~93,15,18
S1355,15,45,15,16
S1356,20,55~59,17,17
S1357,23~28,309~313,17,29
S1358,16~17,323~330,20,26
S1359,20~23,243~253,21,31
S1360,19,285,24,29
S1361,10,345,25,26
S1362,13~18,250~262,25,31
S1363,18~19,258~263,26,29
S1364,11~13,195~201,29,31
S1365,19~20,291~298,29,30
S1366,14~15,242~246,29,31
S1367,14~16,201~207,29,31
S1368,25~29,184~190,29,31
S1369,15,189~190,29,29
S1370,29,154,29,31
S1371,15,135,31,31
