no,lat,lon,first,last
N2508,/,/,1,4
N2509,17~18,232~238,2,5
N2510,22,166,3,3
N2511,13,161~163,4,4
N2512,14~22,82~97,5,17
N2513,5,141,7,7
N2514,5,145,10,11
N2515,13,57,12,12
N2516,12,24,13,13
N2517,13~14,58~60,16,18
N2518,20~22,27~35,18,20
N2519,0~3,277~284,18,22
N2520,15~20,257~265,20,27
N2521,8~10,311~313,21,22
N2522,12~17,230~241,21,27
N2523,20~22,284~291,22,27
N2524,25,220,27,27
N2525,7~8,170~175,27,27
S1781,/,/,1,3
S1783,/,/,1,2
S1785,/,/,1,2
S1786,/,/,1,3
S1787,/,/,1,1
S1790,/,/,1,7
S1791,15~18,245~249,1,2
S1792,16~19,165~168,1,6
S1793,11~12,143~147,2,7
S1794,2,190~191,3,3
S1795,9~10,185~192,3,9
S1796,11~15,136~144,6,12
S1797,9~10,117~120,6,10
S1798,18~23,63~68,6,19
S1799,12~16,65~77,6,18
S1800,14~19,99~103,9,11
S1801,14~16,55~59,9,12
S1802,13~14,87~90,10,12
S1803,11~12,79~80,10,12
S1804,12~14,25~29,11,14
S1805,12~15,357~11,11,21
S1806,23~24,53~56,13,14
S1807,7,354,13,13
S1808,20~26,330~344,13,22
S1809,13~18,297~305,16,27
S1810,18~22,289~294,17,22
S1811,2~3,37~39,18,18
S1812,6~10,267~272,18,27
S1813,3~5,259~264,19,27
S1814,17,288,21,21
S1815,5~6,185~193,27,27
S1816,16,188,27,27
