No,lat,lon,first,last
N1802,/,/,2,10
N1803,15,278,2,3
N1804,4~7,259~262,2,7
N1805,14~16,311~319,3,8
N1806,15~17,259~266,3,9
N1807,30~32,216~224,5,14
N1808,13~15,235~245,7,14
N1809,20~25,252~254,7,16
N1810,20~23,252~254,8,9
N1811,15~17,187~195,12,17
N1812,21~23,106~112,14,24
N1813,13~17,44~52,17,27
N1814,27,48,19,22
N1815,15~16,24~25,19,27
N1816,10~13,68~77,22,25
N1817,15~24,6~20,20,31
N1818,23,94~97,22,23
N1819,20,344,22,26
N1820,16,30~36,23,27
N1821,20,357,25,26
N1822,24,46,26,26
N1823,3,10~13,26,27
N1824,18?,297?,26,26
N1825,19~22,288~279,26,31
N1826,25,26,27,27
N1827,21?,354~357,30,31
N1828,14~17,263~270,30,31
N1829,13~4,247,30,31
N1830,15,238,31,31
N1831,27~28,215~221,31,31
S1222,/,/,2,3
S1225,/,/,2,8
S1226,16~20,262~272,3,12
S1227,24,260,7,7
S1228,17,248,8,8
S1229,20~25,127~142,12,22
S1230,16~18,40~43,21,25
S1231,20~22,314~323,23,31
S1232,21,348~351,27,30
S1233,25~26,253~258,30,30
S1234,13~14,218~219,31,31
