no,lat,lon,first,last
N2235,/,/,1,11
N2236,16~19,339~343,3,15
N2237,5,105,4,4
N2238,9~10,292,10,11
N2239,15,0,11,11
N2240,14,356,13,13
N2241,19~22,294~296,15,18
N2242,2~3,210~212,15,15
N2243,28~29,215~221,18,20
N2244,12~14,133~138,21,28
N2245,12~16,112~102,23,31
N2246,14~19,92~99,23,31
N2247,9~10,36~37,27,31
N2248,14~16,36~38,27,31
N2249,15~17,1~6,29,31
S1536,/,/,1,1
S1540,/,/,1,3
S1543,/,/,1,1
S1545,/,/,1,11
S1546,19~21,141~147,1,1
S1547,6~8,55~58,2,4
S1548,25,0~6,2,4
S1549,12~13,15~19,7,8
S1550,15,10,7,7
S1551,30~35,277~294,8,18
S1552,21~23,0~2,11,11
S1553,20~25,227~233,13,21
S1554,19~22,206~212,18,24
S1555,6~7,147~148,18,29
S1556,11~14,220~228,20,21
S1557,24,113,21,24
S1558,26~31,84~94,23,31
S1559,12~13,167~175,24,28
S1560,15~16,127~133,28,29
S1561,22~23,105~107,28,31
S1562,14~17,15~20,28,31
