no,lat,lon,first,last
N2700,/,/,3,7
N2701,/,/,3,9
N2703,/,/,3,5
N2704,20,160,3,3
N2705,6,140~145,3,3
N2706,11~19,26~43,6,16
N2707,8~15,0~9,9,16
N2708,2~6,345~354,10,15
N2709,16~19,287~295,14,25
N2710,10~15,274~284,14,25
N2711,20?,233?,18,18
N2712,20~24,289~298,21,25
N2713,18,213~217,21,27
N2714,11~13,152~128,25,30
N2715,10,184,27,30
N2716,8~10,159~165,27,30
N2717,18~20,129~135,27,30
N2718,17,155,28,28
N2719,20,99,28,30
N2720,2~4,85~90,30,30
S1964,/,/,3,7
S1965,/,/,3,3
S1966,/,/,3,11
S1967,10~12,99~106,3,7
S1968,9~12,49~60,4,12
S1969,8,136,5,5
S1970,5~7,52~60,10,16
S1971,8~10,342~349,11,12
S1972,12~13,13~14,16,18
S1973,20,286,16,16
S1974,10,305~307,18,21
S1975,8~10,264~265,21,21
S1976,9~11,218~230,21,28
S1977,7,219,29,29
S1978,13~16,176~188,29,30
