no,lat,lon,first,last
N5643,11,342,feb.2,feb.2
N5644,11~15,247~257,feb.2,feb.8
N5645,5~9,245~253,feb.2,feb.9
N5646,29,246,feb.7,feb.7
N5647,24~27,127~128,feb.8,feb.10
N5648,31,111,feb.8,feb.13
N5649,13~20,109~116,feb.8,feb.20
N5650,10~13,136~141,feb.9,feb.17
N5651,3~4,115~120,feb.9,feb.13
N5652,14,34,feb.17,feb.17
N5653,10,2,feb.18,feb.18
N5654,23,34,feb.20,feb.20
N5655,1~3,7~15,feb.20,feb.22
N5656,13~19,304~316,feb.20,feb.28
N5657,18,25,feb.21,feb.21
N5658,19,358,feb.21,feb.22
N5659,20,302~303,feb.22,feb.22
N5660,10~13,255~262,feb.28,mar.4
N5661,27~31,229~237,feb.28,mar.8
S5104,8~9,281~283,feb.2,feb.2
S5105,22~24,224~230,feb.2,feb.8
S5106,16,209,feb.5,feb.5
S5107,12,194,feb.5,feb.5
S5108,20~22,236~241,feb.6,feb.9
S5109,25~28,141~147,feb.7,feb.13
S5110,12~13,92~99,feb.9,feb.17
S5111,9~13,341~347,feb.17,feb.28
S5112,33~38,329~343,feb.20,feb.28
S5113,12~13,321~329,feb.20,feb.28
S5114,13~20,308~318,feb.20,mar.4
S5115,10,41,feb.21,feb.22
S5116,18,36,feb.22,feb.22
S5117,12,7,feb.22,feb.22
S5118,3~5,354~359,feb.22,feb.22
S5119,8~10,287~297,feb.22,mar.4
S5120,23,305,feb.28,feb.28
S5121,16~18,260~268,feb.28,mar.5
S5122,20~21,242~243,feb.28,mar.6
