No,lat,lon,first,last
N1917,/,/,1,1
N1918,/,/,1,4
N1920,/,/,1,11
N1922,33,159,1,1
N1923,16?,136~141,4,4
N1924,18~19,350~351,4,11
N1925,24~25,345~350,11,15
N1926,22~23,317~321,11,11
N1927,24~27,296~299,12,19
N1928,11,203,15,18
N1929,31,235,18,18
N1930,29,214,19,19
N1931,13~20,180~186,21,24
N1932,24~31,91~107,21,30
N1933,13~19,79~93,23,30
N1934,17,218,24,24
N1935,30,193,25,26
N1936,11~14,49~53,26,30
N1937,17~21,66~74,27,30
N1938,19~22,38~46,27,30
S1290,/,/,1,1
S1292,/,/,1,7
S1293,-18~22,60~67,4,7
S1294,20,18~23,4,4
S1295,12~13,273~280,12,16
S1296,18~19,262~268,12,19
S1297,15~18,245~254,14,22
S1298,17~18,205~213,14,20
S1299,26~29,175~182,18,27
S1300,20~21,159~166,18,25
S1301,20,179,22,22
S1302,7~5,153~160,22,26
S1303,20~22,178~180,24,24
S1304,16,148~149,24,25
S1305,20,29,29,30
