no,lat,lon,first,last
N2774,/,/,1,2
N2775,18~19,332,1,3
N2776,10~12,250~255,2,14
N2777,10~15,264~276,3,13
N2778,15,249,5,5
N2779,4~5,186~193,7,15
N2780,1~4,156~161,9,17
N2781,2~7,127~135,11,22
N2782,18~19,189~195,13,17
N2783,6,216~221,14,16
N2784,11~10,142~145,15,18
N2785,16~17,59~60,17,22
N2786,12~15,29~39,20,26
N2787,6,32,21,21
N2788,9~13,343~329,25,30
N2789,10~13,273~278,28,30
N2790,9~11,325~330,30,30
N2791,8,268,30,30
S2034,/,/,1,1
S2035,/,/,1,7
S2036,/,/,1,1
S2037,12,246,3,5
S2038,10,248,8,8
S2039,9,182,13,13
S2040,16~17,119~121,15,15
S2041,5~6,187~190,16,19
S2042,5~6,86~87,16,16
S2043,5~10,22~30,29,30
