no,ns,lat
59,S,31
60,S,19~20
96,N,25
61,S,30~32
97,N,19~26
98,N,23
99,N,26~27
62,S,43
63,S,27
100,N,20~21
101,N,16~19
102,N,19
64,S,22~25
103,N,26
65,S,26
104,N,27~28
105,N,40
106,N,14~17
66,S,27~30
