no,lat,lon,first,last
N2874,/,/,2,4
N2875,13,355,6,6
N2876,7~10,317~321,6,9
N2877,12~13,315~321,6,8
N2878,21~22,316~317,7,7
N2879,14~17,102~109,16,22
N2880,19~21,119~126,21,22
N2881,15,19,26,27
N2882,13~14,326~327,26,30
N2883,12~14,313~317,26,29
N2884,5~6,305~308,27,29
N2885,10~11,11~13,30,30
S2145,/,/,2,9
S2146,/,/,2,4
S2147,/,/,2,2
S2149,22,296,2,2
S2150,11~12,266~267,2,6
S2151,8~9,322~323,3,3
S2152,22,249~250,3,9
S2153,8~10,192~200,8,14
S2154,11~12,219~222,12,14
S2155,10~12,109~115,14,18
S2156,12~19,91~102,14,26
S2157,13~15,110~114,17,22
S2158,7,177,18,18
S2159,10~11,47~49,22,22
S2160,5~8,42~47,26,30
S2161,13~16,40~46,26,30
S2162,13~17,338~348,26,30
S2163,9~12,52~57,27,30
S2164,5,354,28,29
S2165,14~18,340~344,28,30
