No,lat,lon,first,last
N1861,/,/,1,4
N1863,/,/,1,4
N1870,/,/,1,4
N1871,/,/,1,1
N1872,23,175,1,3
N1873,28~30,279~282,1,1
N1874,18,181,1,1
N1875,27?,167?,1,1
N1876,32~35,203~207,3,7
N1877,15~16,191~194,3,6
N1878,17,184,5,5
N1879,11~12,112~113,5,14
N1880,20~25,105~114,7,14
N1881,24,171,8,8
N1882,20,121~124,8,8
N1883,17,87~91,8,8
N1884,15,55,8,17
N1885,25~28,341~344,14,25
N1886,23~25,292~294,17,29
N1887,23,338,20,20
N1888,24,319,20,20
N1889,26~30,227~237,22,30
N1890,15,285,23,26
N1891,28,292,24,24
N1892,22,284,26,26
N1893,34,245~250,29,30
N1894,14~15,180~187,29,30
N1895,22,127,30,30
S1252,/,/,1,4
S1254,/,/,1,6
S1256,20,220,1,3
S1257,18~19,204~207,5,5
S1258,22~25,125~133,5,8
S1259,17~19,151~158,6,8
S1260,19,168,8,8
S1261,20~23,292~294,17,27
S1262,20~21,2~5,20,24
S1263,12~14,274~280,21,26
S1264,44,299~302,22,22
S1265,23,284,23,23
S1266,12,264~267,23,23
S1267,25,338~342,24,26
S1268,14~18,204~213,26,30
S1269,17~20,152~158,28,30
