no,lat,lon,first,last
N2788,/,/,1,2
N2789,/,/,1,2
N2790,/,/,1,2
N2791,/,/,1,6
N2792,7,225,2,2
N2793,15~16,220~224,8,10
N2794,13,124~127,17,18
N2795,8~11,340~347,19,30
N2796,12~18,288~300,23,30
N2797,13~15,301~305,26,30
N2798,15~16,227~229,29,30
N2799,7~8,245~252,30,30
S2044,p1~-1,219~222,1,10
S2045,5~6,196~201,2,10
S2046,2~3,210~212,6,8
S2047,13,221,8,8
S2048,12~14,122~127,15,18
S2049,9,39,15,19
S2050,11,80,17,17
S2051,5~7,75~77,17,19
S2052,3~5,16~19,17,17
S2053,10~12,82~87,22,23
S2054,17~19,350~355,22,23
S2055,19~23,344~351,25,26
S2056,15~17,325~350,25,29
S2057,5~9,237~243,29,30
S2058,11~15,221~235,29,30
S2059,9~11,230~237,29,30
S2060,10,280,30,30
