no,ns,lat
1860,N,37
1861,N,29
1862,N,9~12
1863,N,14~15
1864,N,21
1865,N,18~21
1866,N,19
1867,S,25
1868,S,12
1869,N,16
1870,N,16
1871,N,15~19
1872,S,2
1873,N,9~11
1874,S,10~13
1875,N,6~8
1876,S,22
1877,N,12
1878,N,26
1879,N,34
1880,N,20~22
1881,N,11~17
1882,N,10
1883,N,28
1884,N,24
1885,N,20
1886,S,19
1887,N,24~25
1888,S,15
1889,N,35~37
1890,N,27
1891,N,10~15
1892,N,7
1893,S,3~4
1894,S,18~20
1895,N,17
1896,N,8
1897,N,4~5
1898,N,8
1899,N,16
1900,N,19
