no,ns,lat
303,S,17~20
304,S,11~12
316,N,30~32
305,S,6
306,S,26~28
307,S,12~14
308,S,19~22
317,N,20
309,S,15~17
310,S,8~9
311,S,23
312,S,23~25
313,S,20
318,N,14~15
319,N,17~18
314,S,19
315,S,18
316,S,38
317,S,15~20
320,N,10~14
321,N,7
318,S,20
319,S,18~20
320,S,37
322,N,13
323,N,31
321,S,11~15
322,S,12~15
324,N,20
325,N,35
326,N,22
327,N,35
328,N,32
329,N,11
330,N,40
331,N,23~24
332,N,14~15
323,S,17
324,S,11
333,N,27~29
334,N,23
335,N,32
336,N,22~24
337,N,21
325,S,19~22
