no,ns,lat
604,N,26
605,N,10~14
600,S,25
606,N,15~17
601,S,21
602,S,25
607,N,9~11
608,N,10~12
609,N,6
610,N,13~15
611,N,40
612,N,41
603,S,14
613,N,19
614,N,11
615,N,10
604,S,10~11
605,S,13~15
606,S,6
616,N,30
617,N,15
607,S,21
608,S,16
618,N,34
619,N,15~16
609,S,20~22
620,N,36
621,N,14
622,N,8
623,N,20
610,S,10
624,N,10~13
611,S,23
612,S,12~15
613,S,20
625,N,20
614,S,7
626,N,5
615,S,12~13
627,N,6~10
628,N,15
616,S,11
617,S,12
618,S,24
619,S,15~17
629,N,12
630,N,8
631,N,6
620,S,22~24
632,N,24~28
633,N,15~19
621,S,17
622,S,16
634,N,15
623,S,13~19
