No,lat,lon,first,last
N2629,/,/,1,1
N2633,/,/,1,1
N2636,/,/,1,9
N2639,/,/,1,11
N2640,4,271~273,1,3
N2641,16~19,256~266,1,9
N2642,11,310,3,5
N2643,16~21,201~207,3,12
N2644,21~23,190~192,3,9
N2645,9~10,193~194,3,15
N2646,9~11,242~244,4,5
N2647,24,203~206,8,8
N2648,3~5,148~152,9,12
N2649,11~12,104~109,15,21
N2650,20~23,59~68,20,24
N2651,5,30~32,20,20
N2652,18~22,14~28,20,27
N2653,3~4,357~2,20,22
N2654,12,346,20,22
N2655,10~13,318~329,20,27
N2656,7~10,37~47,22,24
N2657,20~22,315~326,24,27
N2658,23,271,27,27
N2659,15~18,241~246,27,27
S1918,/,/,1,2
S1919,/,/,1,3
S1921,/,/,1,5
S1922,20,270,1,1
S1923,13~14,265~267,4,5
S1924,8~9,268~272,5,8
S1925,7~8,191~194,5,9
S1926,27~20,246~252,7,7
S1927,20~21,240~243,7,7
S1928,10~12,183~195,7,12
S1929,15~18,145~154,7,15
S1930,8,143,9,9
S1931,10~12,115~117,9,15
S1932,15~16,188~191,11,12
S1933,9~10,102,11,15
S1934,10~11,177~179,15,15
S1935,20~23,84~90,15,20
S1936,18,34,15,20
S1937,14~15,93~99,20,21
S1938,5~8,282~285,24,27
S1939,8,272,27,27
