no,lat,lon,first,last
N2797,/,/,3,4
N2798,/,/,3,9
N2799,/,/,3,4
N2800,13,247,6,6
N2801,11~16,56~64,10,21
N2802,4~10,17~36,12,24
N2803,9~11,8~13,14,24
N2804,10~15,347~355,18,27
N2805,8~10,358~3,20,21
N2806,15,338,21,21
N2807,15,293,21,21
N2808,11~14,303~315,24,30
N2809,19~21,299~301,24,28
N2810,15,292,27,28
N2811,24,297,28,29
N2812,5~10,186~194,28,31
N2813,27~28,290~295,30,31
N2814,19~20,208~210,30,31
N2815,10~11,195~200,30,31
S2057,/,/,3,8
S2058,/,/,3,9
S2059,/,/,3,6
S2061,8~9,209~210,3,3
S2062,12~13,181~186,4,6
S2063,10,203,6,6
S2064,3~10,121~133,6,17
S2065,10~13,94~95,8,14
S2066,3~5,2~6,15,19
S2067,8,29~33,16,18
S2068,15~16,13~17,16,19
S2069,5~6,95~98,17,18
S2070,12,339,18,19
S2071,15~18,354~358,25,25
S2072,13,340~341,25,25
S2073,16,259,25,25
S2074,6~7,242~243,25,31
S2075,11~14,271~275,27,31
S2076,10~15,228~234,27,31
S2077,19,234,29,29
S2078,14,257,30,30
S2079,25~28,155~159,31,31
