no,lat,lon,first,last
N4918,8~11,220~229,sep.3,sep.10
N4919,18,143,sep.5,sep.6
N4920,5~7,168~171,sep.9,sep.10
N4921,6,122~127,sep.13,sep.13
N4922,14~16,111~112,sep.19,sep.19
N4923,16,35~36,sep.21,sep.21
S4328,7~9,325~328,sep.1,sep.3
S4329,8,197,sep.1,sep.3
S4330,8~11,170~177,sep.3,sep.10
S4331,1,162,sep.4,sep.6
S4332,7~9,141~148,sep.4,sep.14
S4333,21,137,sep.8,sep.13
S4334,2,88,sep.13,sep.13
S4335,11~14,56~63,sep.13,sep.21
S4336,5,102,sep.16,sep.16
S4337,5~7,84~85,sep.18,sep.19
S4338,7~9,334~336,sep.18,sep.21
S4339,15,340,sep.29,sep.29
S4340,19,281,sep.29,sep.29
S4341,16~21,261~274,sep.29,oct.3
