no,ns,lat
124,N,23~24
125,N,26~30
93,S,19~22
126,N,20~22
127,N,35
128,N,37
94,S,82
95,S,13
96,S,15
129,N,18~25
97,S,16
98,S,22
130,N,24
131,N,24
132,N,28
133,N,18
