no,lat,lon,first,last
N2265,/,/,3,6
N2266,24~25,292~293,3,12
N2267,8~9,272~274,3,5
N2268,9~11,255~270,3,13
N2269,13~17,242~248,5,10
N2270,4~5,280~282,7,10
N2271,19,268,9,9
N2272,15,187~191,13,13
N2273,6~7,100~103,19,19
N2274,16~18,73~79,19,24
N2275,10~14,56~74,19,28
N2276,9~15,44~54,19,28
N2277,9~11,89~98,22,26
N2278,19~20,68~69,24,24
N2279,20,59,25,25
N2280,1~2,300~301,28,28
N2281,14~15,283~290,28,28
S1568,p1~-3,290~298,3,10
S1569,7~8,283~284,3,12
S1570,18,270,6,6
S1571,17~20,257~260,7,9
S1572,19~21,293~297,9,12
S1573,15~17,121~128,13,23
S1574,10~12,155~164,19,19
S1575,13~15,66~74,19,26
S1576,26~28,82~87,22,26
S1577,19~26,333~342,23,28
S1578,13~20,337~347,24,28
S1579,14~16,333~335,24,28
S1580,19~20,57~60,25,26
S1581,15~19,295~303,28,28
S1582,13~15,298~302,28,28
