no,ns,lat
734,N,13~15
695,S,14
696,S,16
697,S,25
698,S,11~15
699,S,6
700,S,6~9
735,N,17~19
736,N,11~12
701,S,4
702,S,25
737,N,20~24
703,S,6~10
738,N,11
739,N,10~11
740,N,31
704,S,20
741,N,12
742,N,18
743,N,14
744,N,14~18
705,S,10
745,N,18
746,N,34
706,S,12
747,N,17
707,S,28~32
708,S,14~19
748,N,21~22
749,N,21~24
750,N,10~12
709,S,22
751,N,24~32
710,S,3~6
752,N,19~21
711,S,15~17
712,S,20~23
713,S,4
714,S,8~9
715,S,13
753,N,9~12
754,N,28~31
716,S,9
755,N,15
