no,lat,lon,first,last
N1972,/,/,4,6
N1973,/,/,4,6
N1975,/,/,4,4
N1977,12~10,228~233,4,11
N1978,23~24,260~262,6,6
N1979,10~13,258~267,8,11
N1980,18~19,216~218,10,11
N1981,14~17,192~200,10,11
N1982,24,260,11,11
N1983,13~17,48~56,18,22
N1984,9~12,22~31,18,30
N1985,12,6,19,22
N1986,21,343,22,29
N1987,11~12,332~333,22,31
N1988,19~21,349~0,28,30
N1989,17~20,318~329,28,31
N1990,19~22,302~307,28,30
N1991,14~16,271~273,28,31
N1992,18~21,252~254,28,31
S1327,/,/,4,8
S1328,15~21,253~262,4,11
S1329,24~27,225~228,4,11
S1330,17~19,312~318,6,6
S1331,24,122,11,20
S1332,25~28,277~285,28,31
S1333,15~17,258~271,28,31
S1334,19~20,247~248,28,31
S1335,19~22,232~239,29,31
