No,lat,lon,first,last
N2218,/,/,1,1
N2220,/,/,1,5
N2223,6~10,43~46,1,13
N2224,15~20,340~352,6,18
N2225,9~10,35~37,7,7
N2226,19~22,309~315,8,14
N2227,8~11,289~293,10,17
N2228,22,301,12,12
N2229,16,246,14,18
N2230,9~14,234~243,14,24
N2231,7~11,255~261,15,20
N2232,16~15,286~293,17,22
N2233,17?,308?,19,19
N2234,14~15,194~196,25,25
N2235,8~15,21~35,30,30
S1525,/,/,1,4
S1526,/,/,1,8
S1527,-10~13,74~80,4,8
S1528,26,23,4,6
S1529,16,15,5,5
S1530,30,105,6,6
S1531,12~13,38~43,6,8
S1532,27,9,7,8
S1533,11~12,315~316,8,17
S1534,20~23,40~43,10,12
S1535,10~12,302~309,10,14
S1536,10~16,164~177,19,30
S1537,25~26,283~285,20,20
S1538,19~23,171~176,21,26
S1539,18,149,22,22
S1540,6~10,138~147,23,30
S1541,20~22,220~222,26,26
S1542,0,163,26,26
S1543,5~11,84~89,28,30
S1544,8,103,30,30
S1545,11~14,36~42,30,30
