no,lat,lon,first,last
N7077,37,295,mar.2,mar.2
N7078,10,270,mar.2,mar.2
N7079,25~27,192~203,mar.7,mar.14
N7080,21~23,194~201,mar.10,mar.14
N7081,8~15,65~76,mar.12,mar.24
N7082,11,154~157,mar.14,mar.14
N7083,18~21,38~47,mar.19,mar.24
N7084,21~23,9~11,mar.19,mar.27
N7085,9~12,350~1,mar.19,mar.27
N7086,30~33,57~69,mar.20,mar.24
N7087,17,7,mar.20,mar.20
N7088,15~19,351~2,mar.20,mar.27
N7089,23,337~343,mar.20,mar.24
N7090,13~14,324~328,mar.21,mar.22
N7091,8~12,286~295,mar.23,apr.4
N7092,19~22,280~289,mar.24,apr.1
N7093,16~20,262~272,mar.27,apr.6
N7094,22,250~251,mar.27,mar.27
N7095,12~13,192~200,mar.30,apr.4
N7096,21~25,194~198,mar.31,apr.8
S6843,12,298,mar.1,mar.2
S6844,35~37,293~301,mar.2,mar.7
S6845,13~18,223~237,mar.2,mar.10
S6846,11~14,193~204,mar.3,mar.14
S6847,9~12,223~226,mar.6,mar.10
S6848,12~13,157~164,mar.6,mar.14
S6849,12~13,180~184,mar.7,mar.12
S6850,14~17,169~175,mar.7,mar.13
S6851,16~18,143~145,mar.7,mar.13
S6852,6~7,171~172,mar.8,mar.10
S6853,11~21,116~130,mar.8,mar.20
S6854,15,189,mar.9,mar.9
S6855,9~11,182~188,mar.9,mar.14
S6856,19~20,107~109,mar.9,mar.14
S6857,25~28,72~77,mar.12,mar.22
S6858,14~18,39~51,mar.19,mar.24
S6859,13~21,315~324,mar.21,mar.30
S6860,24~26,322~327,mar.22,mar.24
S6861,8~12,9~17,mar.23,mar.27
S6862,13~19,277~287,mar.24,apr.4
S6863,24,277,mar.24,mar.24
S6864,9~10,276~277,mar.24,mar.30
S6865,24,319,mar.27,mar.27
S6866,12~15,266~274,mar.27,apr.4
S6867,11~14,239~246,mar.27,apr.7
S6868,6~7,239~245,mar.30,apr.6
S6869,11~17,201~208,mar.30,apr.8
S6870,6~8,209~210,mar.30,apr.3
S6871,21~22,274~279,mar.31,apr.1
S6872,10~12,230~234,mar.31,apr.4
