no,lat,lon,first,last
N3311,/,/,1,1
N3313,/,/,1,10
N3314,23,135~138,7,14
N3315,15,155,11,11
N3316,35~38,77~83,12,21
N3317,29,64,14,14
N3318,25,133,18,18
N3319,20~25,59~66,18,25
N3320,14~15,27~32,18,18
N3321,13~14,101~104,19,19
N3322,35,67,20,20
N3323,23~25,26~28,23,27
N3324,14~17,250~253,27,30
S2639,/,/,1,1
S2640,/,/,1,9
S2641,22~23,145~148,10,12
S2642,24~25,139~147,10,19
S2643,23~25,188~194,14,15
S2644,24,136,15,15
S2645,17~20,51~52,15,19
S2646,25,38,18,18
S2647,18~23,196~208,31,31
