no,ns,lat
2274,N,24
2275,N,8~9
2276,N,13
2277,S,8
2278,N,14~17
2279,S,10
2280,N,17
2281,N,16~24
2282,S,20
2283,S,10
2284,N,9
2285,N,29
2286,S,16
2287,S,19
2288,N,24~25
2289,N,9
2290,N,3~4
2291,N,13
2292,N,10
2293,N,19
2294,S,10
2295,N,15~17
2296,S,8
2297,N,9
2298,N,7
2299,S,6
2300,S,10
2301,S,12
2302,S,17
2303,N,28
2304,N,9~11
2305,S,15
