no,lat,lon,first,last
N2390,10~12,110~120,3,5
N2391,2~4,109~116,3,3
N2392,8~10,55~65,3,10
N2393,19~20,14~16,4,8
N2394,12~15,10~16,5,8
N2395,15,357~359,5,8
N2396,8~10,285~288,10,21
N2397,11,37,12,12
N2398,13,12,12,12
N2399,18,8,12,12
N2400,11,322,13,13
N2401,14~15,343~345,14,14
N2402,11,321,18,18
N2403,22,271,19,19
N2404,7~10,131~135,22,31
N2405,9~13,118~131,22,31
N2406,11~12,186,24,24
N2407,3~6,73~86,27,31
N2408,7~10,70~78,27,31
N2409,1~3,61~65,28,31
N2410,5,54,29,30
N2411,14,98,30,30
N2412,3,88,30,30
N2413,12,21,31,31
S1659,/,/,1,4
S1660,/,/,1,5
S1664,10~15,60~71,3,10
S1665,20~24,44~53,3,13
S1666,10,48,4,4
S1667,16~17,61~65,5,5
S1668,15,50~52,8,10
S1669,30~33,356~7,10,15
S1670,13~16,300~305,12,15
S1671,10~16,247~257,13,22
S1672,6,213,21,21
S1673,15~18,190~193,22,24
S1674,8,135,24,24
S1675,8~10,98~105,27,31
S1676,7,127,28,28
S1677,10~12,90~94,28,31
S1678,7~8,133~134,29,29
S1679,14,126,29,29
S1680,23,107,30,30
S1681,20,102,30,30
S1682,17~19,50~52,31,31
