no,lat,lon,first,last
N3293,/,/,1,6
N3294,/,/,4,6
N3295,/,/,1,1
N3296,/,/,1,10
N3297,3~9,200~210,6,16
N3298,11~13,207~209,9,12
N3299,15,205,9,9
N3300,17~19,158~161,9,21
N3301,19,259~262,13,13
N3302,26~28,198~199,13,13
N3303,21~23,106~111,13,21
N3304,16~18,170~175,14,19
N3305,22~20,160~163,14,17
N3306,20~23,143~149,16,23
N3307,22,163~167,20,20
N3308,25~26,102~104,23,23
N3309,16,350,25,25
N3310,19~22,325~335,25,31
N3311,28~32,323~331,27,31
N3312,19,43,28,29
N3313,18~21,245~257,30,31
S2635,/,/,1,10
S2636,25~26,27~29,1,1
S2637,23~25,78~88,19,27
S2638,25~26,40~41,21,24
S2639,16~20,338~347,25,31
S2640,22~25,263~271,29,31
