No,lat,lon,first,last
N5345,8~10,92~95,feb.2,feb.2
N5346,24,6,feb.2,feb.3
N5347,18,81~86,feb.3,feb.3
N5348,36,72,feb.3,feb.4
N5349,20~22,29~33,feb.3,feb.7
N5350,15~17,318~328,feb.3,feb.13
N5351,11~12,345~348,feb.4,feb.5
N5352,28,321,feb.4,feb.4
N5353,24~33,271~293,feb.5,feb.15
N5354,16~23,265~272,feb.6,feb.15
N5355,9,335,feb.7,feb.7
N5356,15,279,feb.9,feb.9
N5357,11~17,240~245,feb.9,feb.20
N5358,28,227,feb.11,feb.15
N5359,20,258,feb.12,feb.12
N5360,17~20,193~205,feb.12,feb.22
N5361,21~23,240~245,feb.14,feb.15
N5362,25,209,feb.14,feb.20
N5363,30,184~185,feb.15,feb.15
N5364,13~18,131~144,feb.20,feb.28
N5365,13~15,110~118,feb.27,mar.2
N5366,10~12,44~55,feb.27,mar.6
N5367,15~19,38~46,feb.27,mar.6
N5368,37~38,42~45,feb.28,feb.28
S4837,18,348,feb.1,feb.3
S4838,25~28,337~340,feb.1,feb.7
S4839,13~15,335~341,feb.1,feb.7
S4840,5~7,29~34,feb.2,feb.4
S4841,25~26,76~77,feb.3,feb.4
S4842,29~32,294~295,feb.4,feb.14
S4843,31,316,feb.9,feb.9
S4844,28,307~310,feb.9,feb.11
S4845,14~21,235~252,feb.9,feb.20
S4846,16,324,feb.11,feb.11
S4847,37~40,319~320,feb.13,feb.13
S4848,27,252,feb.15,feb.15
S4849,20,209,feb.15,feb.15
S4850,11~15,161~174,feb.15,feb.23
S4851,19~24,140~150,feb.15,feb.27
S4852,13~14,158~159,feb.20,feb.22
S4853,9~10,97~105,feb.20,feb.28
S4854,29,136,feb.23,feb.23
S4855,13,138,feb.27,feb.27
S4856,16~17,104~106,feb.27,feb.27
S4857,24~26,62~68,feb.27,feb.28
S4858,18~22,42~52,feb.27,mar.3
