no,lat,lon,first,last
N3006,9~13,100~116,6,17
N3007,19~21,54~59,13,16
N3008,14~16,339~346,17,26
N3009,16~17,314~317,20,27
N3010,10~13,303~317,21,27
N3011,17~18,277~280,22,22
N3012,4~9,134~147,30,31
S2326,/,/,2,2
S2328,/,/,2,5
S2330,/,/,2,4
S2331,13~15,210~216,3,8
S2332,17~19,97~101,10,16
S2333,10~12,98~100,10,10
S2334,17~20,55~65,13,21
S2335,13~15,56~59,15,17
S2336,7~9,350~358,16,20
S2337,10,60~61,16,16
S2338,12,329,22,27
S2339,14~17,259~266,30,31
S2340,12,177,31,31
S2341,12~13,147~150,31,31
