No,lat,lon,first,last
N8628,10~12,128~134,nov.3,nov.3
N8629,11~12,111~118,nov.3,nov.7
N8630,6,95,nov.3,nov.5
N8631,5~7,69~75,nov.3,nov.7
N8632,12~18,8~16,nov.4,nov.16
N8633,7,291,nov.11,nov.11
N8634,8~9,1~5,nov.14,nov.15
N8635,17,297,nov.14,nov.15
N8636,16~17,111~112,nov.24,dec.5
N8637,3~6,155~164,nov.27,nov.30
N8638,3~6,80~89,nov.27,dec.3
N8639,17,154,nov.29,nov.29
S8622,14,158,nov.4,nov.4
S8623,8,324,nov.10,nov.11
S8624,10~12,305~312,nov.10,nov.16
S8625,14,165,nov.14,nov.18
S8626,11~17,240~255,nov.14,nov.24
S8627,8~9,273~277,nov.15,nov.18
S8628,11,259,nov.18,nov.18
S8629,10~15,224~228,nov.18,nov.19
S8630,10~14,161~169,nov.21,nov.30
S8631,7,253,nov.22,nov.22
S8632,19,252~257,nov.22,nov.23
S8633,16~20,125~128,nov.24,dec.3
S8634,24,97,nov.27,nov.27
S8635,17~22,77~90,nov.27,dec.8
S8636,15~16,111~112,nov.29,nov.29
