No,lat,lon,first,last
N1987,/,/,1,1
N1989,/,/,1,3
N1991,/,/,1,7
N1992,/,/,1,7
N1993,14~16,88~93,9,21
N1994,10~13,141~148,12,15
N1995,9~13,70~76,12,22
N1996,19,43~46,13,19
N1997,6~12,33~45,13,25
N1998,16,99~104,18,19
N1999,18~19,23~28,18,23
N2000,18~19,4~10,18,26
N2001,18~22,313~327,19,30
N2002,10~14,267~276,23,30
N2003,21~26,329~336,25,28
S1332,/,/,1,4
S1333,/,/,1,7
S1334,/,/,1,4
S1335,/,/,1,10
S1336,25~26,263~267,3,4
S1337,10,302,4,4
S1338,15~16,247~249,7,7
S1339,27?,230?,10,10
S1340,20~21,100~103,13,15
S1341,13~14,119~121,15,15
S1342,22~23,95~100,19,20
S1343,14~15,34~38,22,22
S1344,17~20,275~283,23,30
S1345,26~28,306~317,25,30
S1346,24,266~268,25,27
S1347,24~27,232~236,26,30
