no,ns,lat
,S,21
635,N,24~25
636,N,11
637,N,28
638,N,23~26
639,N,10
640,N,23~25
641,N,14
642,N,0~2
624,S,25
643,N,21~22
644,N,20
645,N,13~18
625,S,24
646,N,7~8
626,S,4
627,S,6~10
628,S,16~19
647,N,13
648,N,5
629,S,13
630,S,6
631,S,19~21
632,S,23~24
633,S,7~8
634,S,12
649,N,37~40
649,N,18~20
650,N,7~8
651,N,19
652,N,23~26
635,S,23
636,S,13
653,S,15
654,N,8
637,S,15
638,S,29
655,N,6~7
639,S,21
656,N,26
657,N,19
658,N,18
659,N,13
660,N,25~27
661,N,14~19
640,S,30
641,S,15
642,S,23
662,N,14~15
663,N,16
664,N,11
665,N,22~24
643,S,23
