no,lat,lon,first,last
N2860,/,/,2,3
N2863,8~11,344~351,5,10
N2864,10~12,306~312,7,12
N2865,8~11,238~249,7,18
N2866,5~8,285~290,8,13
N2867,22,317~321,9,10
N2868,3,287,9,9
N2869,16~20,190~199,10,20
N2870,6,238,13,13
N2871,10~13,178~185,13,23
N2872,8~9,139~145,15,20
N2873,18,108,28,28
N2874,20~22,331~333,28,29
S2117,/,/,2,2
S2118,/,/,2,3
S2120,/,/,2,2
S2121,/,/,2,7
S2123,2~7,316~325,2,13
S2124,13~15,302~304,3,9
S2125,2~3,248~252,7,18
S2126,8,318,9,9
S2127,5~7,286~287,9,12
S2128,14,330~335,10,11
S2129,13~15,189~190,11,18
S2130,10~11,297~301,13,13
S2131,8,222,14,14
S2132,13,206,15,15
S2133,4~5,134~135,15,24
S2134,13,210~214,16,17
S2135,10~16,107~117,17,29
S2136,7,107,18,20
S2137,12~18,93~103,18,29
S2138,8~10,173~176,20,20
S2139,8~13,87~95,20,28
S2140,8,104,24,24
S2141,3,98,24,24
S2142,15~17,76~80,24,24
S2143,11~14,41~48,24,29
S2144,13,57,28,28
S2145,3~5,329~331,28,31
S2146,6~8,357~6,29,31
S2147,12~13,54~59,31,31
S2148,18,304,31,31
