No,lat,lon,first,last
N6061,7,278,sep.2,sep.2
N6062,11,213~215,sep.2,sep.2
N6063,30,194,sep.2,sep.2
N6064,20,116,sep.10,sep.10
N6065,0~5,98~106,sep.10,sep.16
N6066,0,92,sep.12,sep.12
N6067,0~2,358~1,sep.12,sep.23
N6068,14,57~58,sep.16,sep.16
N6069,6~9,339~352,sep.16,sep.23
N6070,8,2,sep.17,sep.17
N6071,6~7,331~335,sep.19,sep.20
N6072,9,305,sep.19,sep.19
N6073,5~6,28,sep.21,sep.22
N6074,5~6,262~266,sep.21,sep.23
N6075,7~9,294~302,sep.22,sep.28
N6076,10~11,276~281,sep.27,sep.28
S5660,7~9,190~199,sep.2,sep.7
S5661,11,140,sep.2,sep.4
S5662,9~14,178~187,sep.3,sep.10
S5663,23~24,102~103,sep.4,sep.16
S5664,23~26,137~139,sep.5,sep.6
S5665,11~13,112~120,sep.6,sep.12
S5666,10,127~128,sep.7,sep.7
S5667,6,62~65,sep.10,sep.12
S5668,19~21,46~51,sep.10,sep.17
S5669,18~22,25~40,sep.10,sep.17
S5670,10~11,14~15,sep.11,sep.22
S5671,14,59,sep.12,sep.12
S5672,25,6,sep.16,sep.16
S5673,12,1~2,sep.16,sep.17
S5674,3,5,sep.20,sep.20
S5675,11~16,339~344,sep.20,sep.23
S5676,9~11,303~308,sep.21,sep.23
S5677,10~11,252~260,sep.21,sep.28
S5678,29,8,sep.22,sep.22
S5679,24,348~353,sep.22,sep.23
S5680,32~33,282~284,sep.23,sep.23
S5681,6~9,194~208,sep.27,oct.4
S5682,9~14,173~191,sep.27,oct.4
S5683,18~23,163~180,sep.27,oct.4
S5684,29,282,sep.28,sep.28
S5685,20,211,sep.28,sep.28
