no,lat,lon,first,last
N1894,/,/,2,6
N1895,/,/,2,4
N1896,20~22,107~109,2,13
N1897,11~13?,190~194,6,6
N1898,26~27,329~330,12,24
N1899,15,322,17,17
N1900,15,327,18,18
N1901,21~22,269~271,19,19
N1902,20~31,215~247,19,25
N1903,9~15,201~197,22,25
N1904,19~26,164~173,24,25
N1905,5~7,249~252,25,25
N1906,13~14,237~239,25,25
S1268,/,/,2,7
S1269,/,/,2,8
S1270,19~20,222~226,2,7
S1271,22~23,128~131,6,6
S1272,22,9,11,11
S1273,12,4,12,13
S1274,13~15,333~340,14,20
S1275,12,311,14,16
S1276,11~12,282~289,15,24
S1277,14~18,277~283,18,25
S1278,27,327,20,24
S1279,13~18,210~222,20,31
S1280,22,227,25,25
S1281,18~22?,171~173?,25,25
