no,lat,lon,first,last
N2466,/,/,1,5
N2467,/,/,1,6
N2469,23,279,1,1
N2470,16,240,1,5
N2471,15~16,217~223,2,13
N2472,4~7,278~280,5,6
N2473,19,238,5,5
N2474,16,235,6,6
N2475,6~7,255~259,9,10
N2476,22,221,10,10
N2477,5~6,90~91,13,21
N2478,14,89,13,17
N2479,10~13,77~81,13,24
N2480,9,89~91,15,15
N2481,1,85,15,21
N2482,10~13,56~69,15,25
N2483,11~12,96~98,17,17
N2484,18,83,17,17
N2485,4,78,19,19
N2486,9~12,6~11,19,29
N2487,14,75,20,20
N2488,8~11,316~324,23,31
N2489,21~22,318~320,23,31
N2490,12,266,28,30
N2491,27,256,28,28
N2492,9~13,238~249,28,31
N2493,24,315,29,29
N2494,5~7,228~236,30,31
N2495,17~19,197~201,31,31
S1726,/,/,1,3
S1727,/,/,1,6
S1729,/,/,1,6
S1732,/,/,1,1
S1733,/,/,1,1
S1735,/,/,1,6
S1736,-19~21,264~269,1,10
S1737,10~11,255~259,2,6
S1738,18~20,221~226,9,11
S1739,4,169~170,13,15
S1740,11~12,110~113,13,17
S1741,10~13,84~93,13,23
S1742,10~13,57~66,19,25
S1743,14,63,19,19
S1744,27~28,89~92,20,21
S1745,12~15,4~11,20,30
S1746,0~4,342~348,21,31
S1747,15~18,318~321,23,31
S1748,16~17,62~67,24,25
S1749,14,20~22,24,24
S1750,8~9,357~359,25,29
S1751,20~23,346~353,25,31
S1752,23,297,25,25
S1753,12,345~349,28,28
S1754,18,305~306,28,29
S1755,18~23,282~291,28,31
S1756,-8~10,328~337,29,31
