no,lat,lon,first,last
N6649,31,188,may.1,may.1
N6650,23,21,may.6,may.6
N6651,19~23,273~287,may.13,may.23
N6652,21,292,may.16,may.16
N6653,28,278~279,may.20,may.20
N6654,22~23,265~266,may.22,may.22
N6655,16~19,205~215,may.23,may.28
N6656,23~26,93~99,may.27,jun.6
S6457,16~17,41~42,may.3,may.14
S6458,22,112~114,may.6,may.6
S6459,18~22,342~355,may.9,may.19
S6460,25~30,279~292,may.13,may.21
S6461,17~18,302~305,may.19,may.20
S6462,18~21,134~137,may.23,may.27
S6463,22~25,228~230,may.27,may.27
S6464,18~24,39~48,may.30,jun.8
S6465,21~22,127~132,may.31,jun.1
S6466,22,76,may.31,may.31
