no,ns,lat
528,N,30
529,N,8~17
530,N,4~5
533,S,15~17
534,S,23
535,S,26~27
536,S,15~17
537,S,9~17
531,N,17~18
538,S,38
532,N,25~26
533,N,34
539,S,20
534,N,22~25
540,S,16
541,S,21
535,N,29~30
542,S,4~8
543,S,11
536,N,10~16
537,N,21
544,S,16
538,N,21
539,N,22
540,N,28
541,N,20
542,N,19
543,N,3
545,S,19
546,S,19
544,N,29~30
545,N,30
547,S,23~26
548,S,7
549,S,15~20
550,S,9
546,N,17
547,N,38
551,S,12
552,S,24
553,S,27
554,S,9
548,N,20~22
549,N,18
555,S,25~28
550,N,29
551,N,23~25
552,N,6
553,N,14
556,S,5
554,N,25
