no,lat,lon,first,last
N6709,19~22,192~202,sep.3,sep.11
N6710,14~16,191~201,sep.3,sep.16
N6711,28~29,194~197,sep.4,sep.11
N6712,11~16,196~206,sep.5,sep.14
N6713,21~28,149~161,sep.8,sep.16
N6714,10~14,221~228,sep.9,sep.14
N6715,32,185,sep.11,sep.11
N6716,30~31,21~22,sep.18,sep.24
N6717,17~21,9~16,sep.18,sep.24
N6718,18~19,120~123,sep.19,sep.19
N6719,13~15,82~83,sep.19,sep.20
N6720,16~18,24~28,sep.20,sep.24
N6721,37,5,sep.20,sep.20
N6722,36~38,356~360,sep.24,sep.24
S6509,19~24,265~282,sep.1,sep.10
S6510,29,241,sep.3,sep.3
S6511,15~18,188~193,sep.5,sep.16
S6512,25~27,199~200,sep.8,sep.9
S6513,20,169,sep.8,sep.11
S6514,22~24,155~159,sep.8,sep.16
S6515,21~24,198~208,sep.12,sep.14
S6516,20~22,86~95,sep.13,sep.20
S6517,14,181,sep.16,sep.16
S6518,38~40,58~63,sep.16,sep.20
S6519,28~30,49~57,sep.16,sep.24
S6520,15~17,45~53,sep.18,sep.20
S6521,19~21,360~7,sep.20,sep.24
S6522,29~31,314~321,sep.24,oct.2
