no,lat,lon,first,last
N5818,4~5,260~267,sep.2,sep.13
N5819,17,271~273,sep.4,sep.4
N5820,14~19,245~253,sep.4,sep.6
N5821,11~13,234~236,sep.4,sep.13
N5822,7~8,213~216,sep.6,sep.13
N5823,21~23,283~287,sep.8,sep.11
N5824,16~19,204~206,sep.8,sep.13
N5825,35,279,sep.10,sep.11
N5826,9~11,150~152,sep.11,sep.23
N5827,21~23,132~142,sep.12,sep.21
N5828,12,214,sep.13,sep.13
N5829,11,170,sep.13,sep.13
N5830,18~20,111~122,sep.13,sep.23
N5831,14~16,148~152,sep.19,sep.23
N5832,25,56,sep.20,sep.20
N5833,11~16,21~34,sep.20,oct.2
N5834,5~6,31~36,sep.20,sep.23
N5835,10~11,133~135,sep.22,sep.22
S5288,13~14,286~290,sep.2,sep.10
S5289,8,261,sep.8,sep.8
S5290,17~20,252~255,sep.9,sep.9
S5291,8~11,169~180,sep.9,sep.21
S5292,8,307~311,sep.10,sep.10
S5293,15~17,200~204,sep.10,sep.18
S5294,31~32,191~193,sep.11,sep.11
S5295,17~18,185~187,sep.11,sep.11
S5296,24~27,138~147,sep.11,sep.23
S5297,10~16,134~149,sep.11,sep.23
S5298,0,200,sep.13,sep.13
S5299,11~15,100~109,sep.18,sep.23
S5300,6~10,76~83,sep.18,sep.27
S5301,22~25,52~55,sep.18,sep.27
S5302,17,125,sep.19,sep.19
S5303,23,101,sep.19,sep.19
S5304,5,105,sep.21,sep.21
S5305,5,85,sep.21,sep.21
S5306,28,44,sep.22,sep.22
S5307,4~9,349~3,sep.23,oct.3
S5308,11,51,sep.27,sep.27
S5309,31,357,sep.27,sep.27
S5310,12,343~345,sep.27,oct.1
