no,lat,lon,first,last
N2570,/,/,1,2
N2574,/,/,1,2
N2575,/,/,1,4
N2576,/,/,1,6
N2578,16~17,34~35,2,2
N2579,10,24,4,4
N2580,15~17,285~292,7,13
N2581,12~20,259~269,8,13
N2582,14~15,310~313,13,13
N2583,18~20,254,13,13
N2584,14~17,236~245,13,20
N2585,15~19,215~232,13,21
N2586,20~21,211~212,20,21
N2587,15,167,20,20
N2588,19~20,160~161,20,27
N2589,18,124,20,21
N2590,7~10,96~104,20,28
N2591,20~23,87~99,21,29
N2592,12~13,90~91,26,26
N2593,4~5,73~78,26,29
N2594,19~25,31~48,26,29
N2595,13,86,28,28
N2596,20,62,28,28
N2597,6~12,358~4,29,29
N2598,10,350,29,29
S1874,/,/,1,2
S1877,/,/,1,4
S1878,/,/,1,7
S1879,/,/,1,8
S1880,8,316,6,7
S1881,14~15,305~307,6,13
S1882,8,27,7,7
S1883,9,307,13,13
S1884,9~10,183~184,20,24
S1885,3~5,141~146,20,27
S1886,14,160,21,26
S1887,7,107,24,24
S1888,5~8,45~50,24,29
S1889,11~12,113~118,26,26
S1890,13,42,27,27
S1891,1~5,10~18,27,29
S1892,4~12,354~2,28,29
S1893,8~10,51~57,29,29
