no,lat,lon,first,last
N1752,/,/,1,3
N1755,18~22,1~6,3,9
N1756,22~23,350~357,5,9
N1757,22,241,13,16
N1758,7~10,237~260,13,23
N1759,21~24,238~252,13,23
N1760,24~27,224~253,13,20
N1761,20,289,18,18
N1762,13~15,238~247,18,23
N1763,17,227,18,18
N1764,12~16,139~148,20,23
N1765,29~31,175~179,23,23
N1766,22~23,95~101,28,30
N1767,20~21,67~72,29,30
S1210,/,/,3,4
S1211,12~14,115~122,3,5
S1212,23,48,3,3
S1213,21~22,34~43,6,9
S1214,14~15,148~149,20,23
S1215,22~24?,163~167?,28,28
S1216,19?,49?,28,28
