no,lat
N14,18
N14,2~5
N15,20
N16,19
N17,3
N18,2
N19,4
N20,5~7
N21,5~7
N22,3
N23,9
N24,8
S19,0
S20,14
S21,10~11
S22,16
S23,5~7
S25,6
S26,24
S27,10
S28,14~16
S29,20
S30,17
S31,9
S32,18
