no,lat,lon,first,last
N2554,/,/,1,5
N2556,/,/,1,12
N2557,10~11,147~155,3,3
N2558,13~19,5~15,4,15
N2559,12~14,2~5,5,9
N2560,17~20,292~299,9,19
N2561,9,320,12,13
N2562,-1~p2,284~289,12,18
N2563,13~20,245~264,12,24
N2564,13~15,198~202,16,26
N2565,20,240,21,21
N2566,4~5,216~218,21,21
N2567,11~16,161~169,21,30
N2568,15,148,21,24
N2569,19,198,26,26
N2570,10,94,26,31
N2571,20,130,27,27
N2572,16,84,27,27
N2573,20,168,29,29
N2574,16~18,118~125,29,31
N2575,14~16,55~59,29,31
N2576,6~10,83~91,30,31
N2577,20,147,31,31
S1855,/,/,1,5
S1856,/,/,1,5
S1857,/,/,1,3
S1858,/,/,1,5
S1859,/,/,1,9
S1860,/,/,1,13
S1861,11~12,91~97,3,8
S1862,11,79,3,3
S1863,8,53,5,5
S1864,3,34~37,8,9
S1865,6~11,298~311,12,19
S1866,8~9,279~280,12,22
S1867,11~13,268~275,12,21
S1868,9,321,15,15
S1869,14~15,297~304,15,21
S1870,18~20,256~260,15,16
S1871,14,254~257,16,16
S1872,9~11,237~244,18,24
S1873,8~10,207~211,18,27
S1874,5~9,127~139,22,31
S1875,13~16,151~160,23,31
S1876,7~10,120~121,26,31
S1877,8~10,68~70,27,31
S1878,18~20,62~66,27,31
S1879,11~15,51~59,27,31
