no,ns,lat
83,S,16
120,N,34
121,N,21~24
84,S,15
85,S,19
122,N,20~28
86,S,17~23
87,S,16~17
123,N,28~30
88,S,15
89,S,26
90,S,38
91,S,22
92,S,15
