no,ns,lat
714,N,26
715,N,34
678,S,10
716,N,35~37
717,N,20~21
679,S,18
718,N,24~25
680,S,12
681,S,22~26
719,N,16
682,S,12~16
720,N,18~20
683,S,20
721,N,42
684,S,21~24
685,S,6~7
722,N,46
723,N,15
724,N,0
725,N,19~24
726,N,24~25
686,S,8~11
687,S,11~16
727,N,10
728,N,11
688,S,9
689,S,7~8
729,N,20~23
690,S,4~5
730,N,15~18
691,S,3~4
731,N,28
692,S,5~9
693,S,7~8
732,N,18~15
694,S,22
733,N,35~37
