No,lat,lon,first,last
N2989,/,/,1,7
N2990,/,/,1,10
N2991,16,259,1,1
N2992,19,243,2,5
N2993,18,282~284,5,5
N2994,10,139,10,10
N2995,11,257,12,12
N2996,19~20,200~204,16,16
N2997,18,186,16,16
N2998,8~9,308~311,28,29
N2999,1,291,28,28
N3000,17,289~291,30,30
N3001,4~5,287~288,31,31
N3002,10~13,250~256,31,31
S2301,/,/,1,1
S2302,/,/,1,5
S2303,/,/,1,7
S2304,20,245,2,7
S2305,5~7,252~258,3,13
S2306,16,303,7,9
S2307,5~7,63~71,16,25
S2308,12~18,47~61,16,28
S2309,14~20,20~29,20,26
S2310,7~12,348~353,21,31
S2311,5~7,54~56,23,28
S2312,5,43~48,23,26
S2313,15~16,343~350,23,30
S2314,7~15,309~322,24,31
S2315,12,335~339,27,28
S2316,8~11,279~282,30,31
S2317,7,267~269,31,31
