No,lat,lon,first,last
N5414,27,306~309,may.2,may.2
N5415,19~20,294~296,may.2,may.2
N5416,16~24,78~96,may.24,may.24
N5417,13,75,may.24,may.24
N5418,31~32,45~47,may.24,may.24
N5419,21,18~22,may.24,may.24
N5420,17~21,292~300,may.24,jun.4
N5421,25~27,296~299,may.24,jun.4
N5422,10,17~20,may.29,may.29
N5423,23,306,may.29,may.30
N5424,17~19,234~237,may.30,jun.1
N5425,17~20,224~228,may.30,jun.7
N5426,13~15,233~237,may.31,jun.7
S4902,22~23,234~242,may.2,may.4
S4903,22,296,may.4,may.4
S4904,16~18,70~79,may.24,may.24
S4905,6,63,may.24,may.24
S4906,26~27,54~55,may.24,may.24
S4907,16~18,44~45,may.24,may.24
S4908,17~22,23~39,may.24,may.28
S4909,17,332,may.24,may.24
S4910,18~20,321~322,may.24,may.30
S4911,25,308,may.24,may.28
S4912,18~23,302~306,may.24,jun.4
S4913,10~11,14~20,may.28,may.30
S4914,15~16,323~326,may.28,jun.3
S4915,19~23,278~286,may.28,jun.4
S4916,18,275,may.28,jun.1
S4917,19,313,may.30,may.30
S4918,21~23,288~294,may.30,jun.4
S4919,16,267,may.30,may.31
S4920,24,304,may.31,may.31
