no,lat,lon,first,last
N2593,/,/,2,3
N2594,/,/,2,5
N2597,/,/,2,7
N2599,14,53~57,2,4
N2600,9~12,308~316,2,12
N2601,14~15,335~342,3,7
N2602,13~17,262~264,5,15
N2603,6,246~248,10,10
N2604,15~20,229~226,10,18
N2605,16~20,198~207,10,22
N2606,15,177,14,14
N2607,5~13,84~98,18,29
N2608,15~16,134~139,19,23
N2609,15~20,42~49,22,29
N2610,20~24,40~46,22,29
N2611,4~7,19~30,26,29
N2612,2~11,358~1,26,29
N2613,11~13,10~15,27,28
N2614,18~19,32~34,29,29
N2615,18~19,18~21,29,29
S1888,/,/,2,4
S1891,/,/,2,7
S1892,/,/,2,10
S1893,/,/,2,2
S1894,6~12,307~324,2,12
S1895,19~20,350~353,5,7
S1896,23,343,7,7
S1897,10,303,10,10
S1898,15~18,192~200,12,22
S1899,4~5,188,15,15
S1900,13,157,15,19
S1901,9~10,153~155,19,22
S1902,13,120,19,19
S1903,15,112,19,22
S1904,7,120~122,20,21
S1905,12~14,43~47,22,29
S1906,16~20,38~46,23,26
S1907,0~4,22~24,24,29
S1908,6~10,356~0,25,29
S1909,8~9,331~332,27,29
