No,lat,lon,first,last
N2139,/,/,1,1
N2142,/,/,1,4
N2144,15~17,327~332,3,5
N2145,10~12,174~184,5,15
N2146,5~13,152~166,6,19
N2147,10~12,143~148,10,15
N2148,26~28,154~159,12,15
N2149,10~14,91~96,12,23
N2150,25,86,12,15
N2151,2?,37?,15,15
N2152,12~14,78~83,18,18
N2153,7~10,6~14,19,29
N2154,9,47,20,20
N2155,16~17,357~4,20,25
N2156,12~18,273~281,25,29
N2157,29~30,37~41,26,26
N2158,14,340,26,26
N2159,7~9,338~344,28,29
N2160,28~30,318~324,28,29
N2161,5~8,274~284,28,29
N2162,7~8,307~310,29,29
S1457,/,/,1,1
S1458,/,/,1,1
S1459,/,/,1,1
S1460,11,257,3,3
S1461,16~17,182~183,5,15
S1462,19,250,6,6
S1463,17,156,10,10
S1464,13~15,110~112,10,22
S1465,16,150~154,13,18
S1466,30,118,13,13
S1467,6,119,18,18
S1468,19,53,18,20
S1469,15~19,33~37,18,28
S1470,12~13,64~67,19,19
S1471,15~21,2~14,20,29
S1472,16~22,45~61,23,26
S1473,26,352~356,26,26
