no,lat,lon,first,last
N8000,14,86~88,feb.1,feb.1
N8001,16~17,309~315,feb.10,feb.16
N8002,7~8,333~336,feb.14,feb.16
N8003,2,216,feb.15,feb.21
N8004,12~17,157~167,feb.20,feb.28
N8005,6,140,feb.24,feb.24
S7869,8,102,feb.4,feb.4
S7870,7~8,69~73,feb.4,feb.5
S7871,4~6,48~52,feb.4,feb.6
S7872,4~9,21~30,feb.4,feb.13
S7873,7~10,303~310,feb.8,feb.19
S7874,4,19,feb.9,feb.9
S7875,13,289,feb.10,feb.12
S7876,8~9,336~338,feb.12,feb.13
S7877,15~16,270~274,feb.13,feb.16
S7878,16~17,250~254,feb.14,feb.16
S7879,15,287,feb.16,feb.16
S7880,3,163,feb.20,feb.20
S7881,11~12,154~159,feb.20,feb.23
S7882,22,148,feb.21,feb.28
S7883,3~5,137~146,feb.23,mar.3
S7884,15~16,125~128,feb.27,feb.28
S7885,9~14,65~75,feb.27,mar.9
S7886,9,151,feb.28,feb.28
