no,lat
N52,18
N53,2
N54,15
N55,10~11
N56,11
N57,0
N58,5~8
N59,16
N60,8
N61,18
N62,18
N63,16
N64,12
S52,5~10
S53,12
S54,6~8
S55,15
S56,3
S57,14
S58,21
