no,lat,lon,first,last
N2404,/,/,1,1
N2405,/,/,1,3
N2407,/,/,1,6
N2408,/,/,1,1
N2414,16~17,342~347,3,6
N2415,10~11,55~60,5,8
N2416,15~16,12~18,5,8
N2417,20~21,338~345,5,13
N2418,8,299~301,11,11
N2419,12~15,230~238,11,21
N2420,6~7,258~264,14,20
N2421,1~2,171,18,19
N2422,11~12,151~155,18,21
N2423,5,105~110,21,27
N2424,3~8,84~91,21,29
N2425,2~6,145~155,26,28
N2426,9~12,83~86,26,28
N2427,8~11,58~67,26,30
N2428,12,93,28,28
S1675,/,/,1,5
S1677,/,/,1,5
S1682,/,/,1,3
S1683,-24,41,3,3
S1684,13,308,6,6
S1685,14~15,44~46,8,8
S1686,30~34,316~333,8,14
S1687,17~20,245~250,9,20
S1688,2~7,215~226,12,21
S1689,6~11,241~246,13,19
S1690,10~11,211~213,18,19
S1691,3,208~210,18,19
S1692,8,225,19,19
S1693,28,117,20,21
S1694,9~10,97~103,20,30
S1695,13~15,79~82,26,30
S1696,10~13,55~59,27,30
S1697,13~14,19~24,28,30
S1698,11~15,4~16,28,30
