No,lat,lon,first,last
N4189,27,30~31,sep.1,sep.1
N4190,20~23,342~349,sep.1,sep.5
N4191,20~22,263~273,sep.1,sep.11
N4192,9,271,sep.1,sep.1
N4193,13,256,sep.1,sep.4
N4194,23~25,232~234,sep.1,sep.13
N4195,16~17,323~325,sep.2,sep.3
N4196,11~14,223~232,sep.2,sep.14
N4197,15~18,221~228,sep.2,sep.5
N4198,14~19,244~253,sep.4,sep.11
N4199,5~8,170~175,sep.11,sep.15
N4200,10~15,140~153,sep.11,sep.19
N4201,17,149,sep.11,sep.12
N4202,12~14,157~160,sep.13,sep.15
N4203,22,107,sep.14,sep.14
N4204,15~16,115~116,sep.15,sep.16
N4205,13,155,sep.16,sep.16
N4206,37,132~139,sep.16,sep.17
N4207,7,134,sep.16,sep.16
N4208,16,74,sep.16,sep.16
N4209,19~22,104,sep.17,sep.17
N4210,20~21,118~119,sep.18,sep.19
N4211,20,110,sep.18,sep.18
N4212,15~20,38~48,sep.18,sep.28
N4213,8,132,sep.19,sep.19
N4214,8~11,39~46,sep.19,sep.23
N4215,4~6,43~47,sep.22,sep.23
N4216,8,5,sep.22,sep.23
N4217,16~19,328~334,sep.23,sep.30
N4218,11~14,303~304,sep.28,oct.4
N4219,28~29,264~265,sep.28,oct.4
N4220,20~22,257~261,sep.28,oct.4
N4221,12~16,246~255,sep.28,oct.4
N4222,6~8,303~308,sep.28,oct.4
N4223,9,349,sep.30,sep.30
N4224,12~15,213~222,sep.30,oct.8
S3468,11,322,sep.1,sep.1
S3469,13,294,sep.1,sep.1
S3470,4~7,282~287,sep.1,sep.5
S3471,10,262,sep.1,sep.5
S3472,14~17,12~14,sep.2,sep.2
S3473,9,342,sep.3,sep.3
S3474,23~25,229~234,sep.3,sep.5
S3475,20,298,sep.4,sep.4
S3476,10~12,240~245,sep.11,sep.13
S3477,8~9,143~149,sep.11,sep.19
S3478,9~12,115~121,sep.11,sep.22
S3479,10~14,106~113,sep.11,sep.19
S3480,5,159,sep.12,sep.15
S3481,13,117,sep.13,sep.13
S3482,29~30,52~54,sep.16,sep.19
S3483,10,72~78,sep.17,sep.22
S3484,30~34,35~50,sep.19,sep.28
S3485,35,55,sep.22,sep.22
S3486,26~27,357~358,sep.22,oct.1
S3487,15,360,sep.22,sep.28
S3488,5,350,sep.22,sep.23
S3489,29~31,317~325,sep.28,oct.1
S3490,15~18,296~301,sep.28,oct.4
S3491,17~18,289~292,sep.28,sep.30
