no,ns,lat
479,S,13
477,N,12
478,N,36
479,N,7
480,S,16
481,S,14
480,N,40
482,S,17
481,N,33
482,N,21
483,N,26~31
484,N,15~17
485,N,25
486,N,20
483,S,30
484,S,15
487,N,16~19
488,N,13
489,N,19
485,S,18~20
490,N,4~7
486,S,14
487,S,17~22
488,S,4
489,S,7
490,S,15
491,N,25
492,N,24~30
493,N,14
494,N,9~14
495,N,15~16
496,N,20
491,S,11~15
492,S,13
493,S,12
497,N,9
494,S,9~14
495,S,27
496,S,8~11
497,S,25
498,S,22
498,N,35
499,S,12
499,N,29
500,N,26
500,S,18
501,N,17
501,S,22
502,S,14~20
502,N,26
503,S,17
504,S,9~10
503,N,14~15
505,S,6
504,N,23~25
506,S,28
507,S,28
