no,lat,lon,first,last
N2960,/,/,1,1
N2963,/,/,1,1
N2964,/,/,1,9
N2965,8~10,353~357,8,9
N2966,15~18?,339~346?,13,13
N2967,15~17,237~244,13,19
N2968,13~15,212~215,13,14
N2969,17~18,249~253,15,18
N2970,6,155,15,19
N2971,8~11,107~117,23,30
N2972,17~19,72~80,29,31
N2973,13~15,7~14,29,31
N2974,13~18,336~353,29,31
N2975,13~18,321~331,29,31
N2976,9~13,16~22,30,31
N2977,6,20,30,31
S2266,/,/,1,5
S2268,/,/,1,1
S2269,/,/,1,6
S2271,/,/,1,8
S2272,6~9,17~26,5,9
S2273,5~7,355~358,5,6
S2274,15~17,303~307,13,14
S2275,8~10,240~245,13,16
S2276,24~27,164~170,14,24
S2277,10,240,15,15
S2278,10~12,178~184,17,24
S2279,3~5,107~114,23,29
S2280,13~17,76~81,23,31
S2281,18~19,57~63,23,31
S2282,14~15,94~95,24,24
S2283,5~7,35~38,24,31
S2284,5~8,82~90,29,31
S2285,11~12,39~43,29,30
S2286,2~6,15~19,29,31
S2287,25,334~336,30,31
