no,lat,lon,first,last
N2714,/,/,1,4
N2716,/,/,1,4
N2719,/,/,1,9
N2720,/,/,1,10
N2721,18~19,107~112,2,4
N2722,10,7~5,5,11
N2723,18~20,289~301,10,20
N2724,3,11~12,12,14
N2725,8~9,318~322,14,17
N2726,12,261,14,17
N2727,23,296,15,15
N2728,14,292,15,15
N2729,15~21,213~226,15,28
N2730,7~8,273~277,18,20
N2731,16~19,206~211,18,29
N2732,8~10,188~195,18,29
N2733,11~12,257~260,20,25
N2734,12,168~170,20,28
N2735,12,159,23,25
N2736,3,115~120,27,29
N2737,3~9,58~74,27,29
N2738,17~18,136~133,28,29
N2739,8~10,88~96,29,29
S1978,/,/,1,2
S1979,2~10,12,4,16
S1980,10~12,333~336,9,14
S1981,18~20,13~16,10,12
S1982,11,278~283,11,14
S1983,14~15,302~307,12,15
S1984,23~25,17~22,14,15
S1985,11~15,184~196,18,29
S1986,10,237,20,20
S1987,9~14,97~106,24,29
S1988,6~8,114,27,27
